name,description,link,newprice,discount,oldprice,img,location,lat,long
"03 Tháng Bơi Lội Tại Trung Tâm TDTT Kỳ Hòa 2","Rèn Luyện Thể Chất Khỏe Mạnh, Dẻo Dai, Thỏa Thích Đắm Mình Trong Dòng Nước Mát Cùng 03 Tháng Bơi Lội Tại Trung Tâm TDTT Kỳ Hòa 2. Voucher 700.000 VNĐ, Còn 250.000 VNĐ, Giảm 64%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/dao-tao-giai-tri/03-thang-boi-loi-tai-tttd-ky-hoa-2-222291.html,"250,000","-64%","700,000","http://images-hd.vinacdn.com/images/919/918580/500x500/222291-03-thang-boi-loi-tai-tttd-ky-hoa-2.jpg","796 Sư Vạn Hạnh, Phường 12, Quận 10, TP.Hồ Chí Minh","10.774139499689003","106.66833166183244",
"Buffet Tối Hanayoshi Hơn 70 Món Nướng, Hải Sản, Sushi Nhật & Lẩu Bò Mỹ – Đặc Biệt Tặng Buffet Kem","Ăn Thỏa Thích Với Tiệc Buffet Tối Hơn 70 Món Nướng, Lẩu Bò Mỹ Và Hải Sản, Sushi Nhật, Miễn Phí Buffet Kem Tại Nhà Hàng Hanayoshi. Voucher 360,000 VNĐ, Còn 269,000 VNĐ, Giảm 25%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/buffet-toi-hanayoshi-hon-70-mon-nuong-hai-san-sushi-nhat-lau-bo-my-dac-biet-tang-buffet-kem-237978.html,"269,000","-25%","360,000","http://images-hd.vinacdn.com/images/956/955957/500x500/237978-buffet-toi-hanayoshi-hon-70-mon-nuong-hai-san-sushi-nhat-lau-bo-my-dac-biet-tang-buffet-kem.jpg","1 Lê Ngô Cát, P.7, Q.3","10.776584","106.68494199999998",
"Buffet Nướng Lẩu Hải Sản, Bò Mỹ Cao Cấp Gần 100 Món Tại Sườn No.1","Đắm Chìm Trong Bữa Tiệc Buffet Nướng Lẩu Hải Sản, Bò Mỹ Cao Cấp Với Gần 100 Món Tại Bàn Theo Công Nghệ Nướng Không Khói Tại Sườn No.1. Voucher 299,000 VNĐ, Còn 189,000 VNĐ, Giảm 37%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/buffet-nuong-lau-hai-san-bo-my-gan-100-mon-tri-an-khach-hang-suon-no.1-222680.html,"189,000","-37%","299,000","http://images-hd.vinacdn.com/images/914/913759/500x500/222680-buffet-nuong-lau-hai-san-bo-my-gan-100-mon-tri-an-khach-hang-suon-no.1.jpg","số 158 Thành Thái, Quận 10","10.7681074","106.66691620000006",
"Buffet Trưa/ Tối BBQ Bò Mỹ - Hải Sản - Lẩu Gần 60 Món - Nhà Hàng Flame","Tha Hồ Thưởng Thức Và Khám Phá Thực Đơn Gần 60 Món Đặc Sắc - Buffet Trưa/ Tối BBQ Bò Mỹ - Hải Sản - Lẩu - Tại Nhà Hàng Flame. Voucher 250.000 VNĐ, Còn 119.000 VNĐ, Giảm 52%, Chỉ Có Duy Nhất Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/buffet-trua-toi-bbq-tai-nha-hang-flame-234293.html,"119,000","-52%","250,000","http://images-hd.vinacdn.com/images/943/943276/500x500/234293-buffet-trua-toi-bbq-tai-nha-hang-flame.jpg","392 Phạm Hùng, Phường 5, Quận 8","10.7368342","106.67127099999993",
"Vui Chơi Thỏa Thích Tại Làng Xì Trum - TTTM Now Zone Với 30 Xu Chơi Game","Giải Tỏa Stress Cùng Những Trò Chơi Thú Vị Như Đua Xe, Bắn Súng, Bắn Cá, Thú Nhún, Đập Búa, Nhảy Pump, Danz Base, Gắp Thú… Với Ưu Đãi: 30 Xu Chơi Game Tại Làng Xì Trum. Voucher 105,000 VNĐ, Còn 55,000 VNĐ, Giảm 48%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/dao-tao-giai-tri/combo-30-xu-choi-game-tai-lang-xi-trum-tttm-now-zone-235686.html,"55,000","-48%","105,000","http://images-hd.vinacdn.com/images/950/950055/500x500/235686-combo-30-xu-choi-game-tai-lang-xi-trum-tttm-now-zone.jpg","Gian Hàng   039  ,Lầu 4 TTTM Nowzone – 235 Nguyễn Văn Cừ , P. Nguyễn Cư  Trinh, Q1","10.764032","106.68322999999998",
"Khu Vui Chơi Maika Wonderland - Trọn Gói Vui Chơi Không Giới Hạn Cho Bé Yêu","Đến Với Khu Vui Chơi Trẻ Em Maika Wonderland - Cho Bé Yêu Nhà Bạn Cơ Hội Được Vui Chơi Thỏa Thích, Kết Hợp Với Việc Rèn Luyện Thể Chất, Trí Tuệ. Voucher 120,000 VNĐ, Còn 59,000 VNĐ, Giảm 51%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/dao-tao-giai-tri/vui-choi-khong-gioi-han-cho-be-tai-kvc-maika-wonderland-231425.html,"59,000","-51%","120,000","http://images-hd.vinacdn.com/images/933/933255/500x500/231425-vui-choi-khong-gioi-han-cho-be-tai-kvc-maika-wonderland.jpg","129 Trần Huy Liệu, F. 8, Phú Nhuận","10.790906","106.678403",
"Massage Đá Nóng + Xông Hơi, Ngâm Chân + Đắp Mặt Nạ + Tắm Dưỡng Cám Gạo Tại Pinky Spa","Thư Giãn Toàn Thân Với Gói Dịch Vụ: Massage Body Đá Nóng + Đắp Mặt Nạ + Ngâm Chân Và Massage Chân + Tắm Dưỡng Cám Gạo Tại Pinky Spa. Voucher 500.000 VNĐ, Còn 79.000 VNĐ, Giảm 84%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/spa-lam-dep/thu-gian-toan-than-voi-goi-dich-vu-massage-body-da-nong-dap-mat-na-ngam-chan-va-massage-chan-tam-duong-cam-gao-tai-pinky-spa-221424.html,"79,000","-84%","500,000","http://images-hd.vinacdn.com/images/908/908170/500x500/221424-thu-gian-toan-than-voi-goi-dich-vu-massage-body-da-nong-dap-mat-na-ngam-chan-va-massage-chan-tam-duong-cam-gao-tai-pinky-spa.jpg","190E Huỳnh Văn Bánh, p12, q.Phú Nhuận","10.791985","106.67711699999995",
"[Phan Thiết] Ocean Dune Resort 4* 2N1Đ - 01 Bữa Ăn Trưa/ Tối - Dành Cho 02 Khách","Ocean Resort 4* 2N1Đ - 01 Bữa Ăn Trưa/ Tối - Dành Cho 02 Khách. Voucher 3,880,000 VNĐ, Còn 1,098,000 VNĐ, Giảm 72%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/du-lich/phan-thiet-ocean-dune-resort-4-2n1d-01-bua-an-trua-toi-danh-cho-02-khach-232600.html,"1,098,000","-72%","3,880,000","http://images-hd.vinacdn.com/images/936/936447/500x500/232600-phan-thiet-ocean-dune-resort-4-2n1d-01-bua-an-trua-toi-danh-cho-02-khach.jpg","","10.932307108082227","108.11104096931149",
"Seoul Garden - Buffet Trưa / Tối Nướng & Lẩu Không Khói Tại Nam Kỳ Khởi Nghĩa Quận 3","Thưởng Thức Buffet Trưa Với Hơn 200 Món Ăn Trong Không Gian Ấm Cúng, Hiện Đại Tại Nhà Hàng Seoul Garden. Voucher 329,000 VNĐ, Còn 219,000 VNĐ, Giảm 33%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/seoul-garden-_nam-ky-khoi-nghia-242699.html,"219,000","-33%","329,000","http://images-hd.vinacdn.com/images/967/967380/500x500/242699-seoul-garden-_nam-ky-khoi-nghia.jpg","208 Nam Kỳ Khởi Nghĩa, P. 6, Q. 3","10.78291316209961","106.69139998280332",
"Buffet Tối Trên 80 Món Nướng & Lẩu Nhật Hàn, Free Nước,Tráng Miệng, Món Ăn Kèm – Mogu Mogu BBQ","Thưởng Thức Buffet Nướng Và Lẩu Nhật, Hàn Quốc Trong Không Gian Sang Trọng, Ấm Cúng Của MoguMogu BBQ. Voucher 289,000 VNĐ, Còn 209,000 VNĐ, Giảm 28%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/buffet-toi-tren-80-mon-nuong-lau-nhat-han-free-nuoc-ngot-trang-mieng-che-mon-an-kem-mogu-mogu-bbq-242621.html,"209,000","-28%","289,000","http://images-hd.vinacdn.com/images/968/967737/500x500/242621-buffet-toi-tren-80-mon-nuong-lau-nhat-han-free-nuoc-ngot-trang-mieng-che-mon-an-kem-mogu-mogu-bbq.jpg","280 Nguyễn Đình Chiểu, P6, Q3","10.7758","106.68727999999999",
"Nhà Hàng Nhật Bản Kanpai BBQ- Nướng Và Lẫu -  Sử Dụng Tối Đa 5 VC/ Bill","Thưởng Thức Các Món Nướng Thơm Lừng, Nóng Hổi Cực Hấp Dẫn Tại Nhà Hàng Nhật Bản Kanpai BBQ. Voucher 200,000 VNĐ, Còn 130,000 VNĐ, Giảm 35%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/voucher-do-nuong-nha-hang-nhat-ban-kanpai-bbq-236742.html,"130,000","-35%","200,000","http://images-hd.vinacdn.com/images/952/952495/500x500/236742-voucher-do-nuong-nha-hang-nhat-ban-kanpai-bbq.jpg","34 Phan Đình Giót, P.2, Q.Tân Bình","10.802525","106.66556300000002",
"Lẩu Buđechige + Nước Ngọt Không Giới Hạn Cho 02 Người - HT Mì Hàn Quốc","Lẩu Buđechige + Nước Ngọt Không Giới Hạn Cho 02 Người Tại Hệ Thống Mì Hàn Quốc – Chuỗi Quán Ăn Nổi Tiếng Chuyên Về Ẩm Thực Hàn. Voucher 300,000 VNĐ, Còn 169,000 VNĐ, Giảm 44%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/lau-budechige-nuoc-ngot-khong-gioi-han-cho-2-nguoi-tai-he-thong-mi-han-quoc-239354.html,"169,000","-44%","300,000","http://images-hd.vinacdn.com/images/959/958809/500x500/239354-lau-budechige-nuoc-ngot-khong-gioi-han-cho-2-nguoi-tai-he-thong-mi-han-quoc.jpg","94 Hàm Nghi, P. Bến Nghé Q. 1","10.7709101","106.7034271",
"Xông Hơi – Jjim Jil Bang Không Giới Hạn Thời Gian Tại Regal Business Health Club 5*","Khôi Phục Nguồn Năng Lượng Tươi Mới Cho Cơ Thể Cùng Dịch Vụ Xông Hơi – Jjim Jil Bang Hàn Quốc Tại Regal Business Health Club 5*. Voucher 300,000 VNĐ, Còn 145,000 VNĐ, Giảm 52%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/spa-lam-dep/xong-hoi-jjim-jil-bang-tha-ga-ca-ngay-tai-regal-business-health-club-5-237448.html,"145,000","-52%","300,000","http://images-hd.vinacdn.com/images/956/956297/500x500/237448-xong-hoi-jjim-jil-bang-tha-ga-ca-ngay-tai-regal-business-health-club-5.jpg","57-59 Phó Đức Chính, Phường Nguyễn Thái Bình, Quận 1 (Lầu 5-6)","10.768428","106.70034099999998",
"[Phan Thiết] Romana Resort 4* 2N1Đ – Lẩu Thả/ Set Menu Trưa Hoặc Tối - Dành Cho 02 Người","[Phan Thiết] Romana Resort 4* 2N1Đ – Lẩu Thả/ Set Menu Trưa Hoặc Tối - Dành Cho 02 Người. Voucher 2,740,000 VNĐ, Còn 1,470,000 VNĐ, Giảm 46%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/du-lich/phan-thiet-romana-resort-4-2n1d-lau-tha-set-menu-trua-hoac-toi-danh-cho-02-nguoi-236897.html,"1,470,000","-46%","2,740,000","http://images-hd.vinacdn.com/images/952/952118/500x500/236897-phan-thiet-romana-resort-4-2n1d-lau-tha-set-menu-trua-hoac-toi-danh-cho-02-nguoi.jpg","","10.93242759286768","108.16248611633296",
"Thẻ Học Gym 1 Tháng Không Giới Hạn Thời Gian Tại Trung Tâm Gym Hưng Phát","Rèn Luyện Sức Khỏe, Sự Dẻo Dai Và Thư Giãn Tinh Thần Với Thẻ Học Gym 1 Tháng Không Giới Hạn Thời Gian Tập Tại Trung Tâm Gym Hưng Phát. Voucher 500,000 VNĐ, Còn 150,000 VNĐ, Giảm 70%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/dao-tao-giai-tri/the-hoc-gym-01-thang-khong-gioi-han-thoi-gian-tap-tai-trung-tam-gym-hung-phat-240815.html,"150,000","-70%","500,000","http://images-hd.vinacdn.com/images/964/964068/500x500/240815-the-hoc-gym-01-thang-khong-gioi-han-thoi-gian-tap-tai-trung-tam-gym-hung-phat.jpg","RR16 - RR17 Đường Hồng Lĩnh, P.15, Q.10, TP.HCM","10.77949935672999","106.6624202227265",
"Tour Campuchia: Siem Reap – Phnom Penh 4N3Đ  – KS 3*, 4* - Dành Cho 01 Khách","Khám Phá Những Điểm Đến Giàu Giá Trị Văn Hóa, Lịch Sử Với Tour Campuchia: Siem Reap – Phnom Penh 4N3Đ Dành Cho 01 Khách. Voucher 4.800.000 VNĐ, Còn 2.950.000 VNĐ, Giảm 39%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/du-lich/tour-le-tet-tour-campuchia-siem-riep-phnompenh-nghi-ks-3-4-4n3d-danh-cho-1-nguoi-231708.html,"2,950,000","-39%","4,800,000","http://images-hd.vinacdn.com/images/934/934247/500x500/231708-tour-le-tet-tour-campuchia-siem-riep-phnompenh-nghi-ks-3-4-4n3d-danh-cho-1-nguoi.jpg","198 Phan Văn Trị, P.10, Quận Gò Vấp, TP.HCM.","10.8314777","106.67602299999999",
"Nâng Mũi Sụn Hàn Quốc - Đẹp Tự NHiên Sau 7 Ngày - Bs CHuyên Khoa Phẫu Thuật TM Mũi Lâm Bảo Cường","Gương Mặt Thêm Cân Đối, Ưa Nhìn Cùng Kỹ Thuật Nâng Mũi Sụn Hàn Quốc Tại TT PTTM Bảo Châu – An Toàn, Cho Kết Quả Tốt Nhất Hiện Nay. Voucher 12,000,000 VNĐ, Còn 3,600,000 VNĐ, Giảm 70%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/spa-lam-dep/nang-mui-sun-han-quoc-tai-tham-my-bao-chau-222874.html,"3,600,000","-70%","12,000,000","http://images-hd.vinacdn.com/images/917/916584/500x500/222874-nang-mui-sun-han-quoc-tai-tham-my-bao-chau.jpg","160 Hai Bà Trưng, P. ĐaKao, Q.1","10.7855392","106.69485450000002",
"Set Món Nhật, Lẩu Hải Sản, Nước Uống Cho 3- 4 Người Tại Haha Sushi","Đổi Vị Cho Bữa Ăn Với Set Món Nhật, Lẩu Hải Sản, Nước Uống Cho 3- 4 Người Tại Haha Sushi. Voucher 450,000 VNĐ, Còn 169,000 VNĐ, Giảm 62%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/set-mon-nhat-lau-hai-san-nuoc-uong-cho-2-3-nguoi-tai-haha-sushi-241718.html,"169,000","-62%","450,000","http://images-hd.vinacdn.com/images/967/966745/500x500/241718-set-mon-nhat-lau-hai-san-nuoc-uong-cho-2-3-nguoi-tai-haha-sushi.jpg","36A Lê Lợi, Quận 1","10.774286","106.70048700000007",
"01kg Lạp Xưởng Tươi Cô Tuyết Đặc Sản Cai Lậy - Giao Hàng Tận Nơi","Thêm Hương Vị Cho Bữa Cơm Gia Đình Với 01kg Lạp Xưởng Tươi Cô Tuyết Đặc Sản Cai Lậy Thơm Ngon, Hấp Dẫn - Giao Hàng Tận Nơi. Voucher 220,000 VNĐ, Còn 149,000 VNĐ, Giảm 32%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/01-kg-lap-xuong-tuoi-co-tuyet-giao-hang-tan-noi-tai-cong-ty-tnhh-tct-242631.html,"149,000","-32%","220,000","http://images-hd.vinacdn.com/images/968/967689/500x500/242631-01-kg-lap-xuong-tuoi-co-tuyet-giao-hang-tan-noi-tai-cong-ty-tnhh-tct.jpg","356/6/1 Bạch Đằng, Phường 14, Quận Bình Thạnh","10.8037676","106.69934209999997",
"[Đà Lạt] Saphir Hotel 4* 2N1Đ - Ăn Sáng Dành Cho 02 Người ","Tận Hưởng Kỳ Nghỉ Đáng Nhớ Trong Không Khí Se Lạnh Tuyệt Vời Của Đà Lạt Với 2N1Đ Nghỉ Dưỡng Lại Saphir Hotel 4* Dành Cho 2 Người. Voucher 2,070,000 VNĐ, Còn 750,000 VNĐ, Giảm 64%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/du-lich/da-lat-saphir-hotel-4-2n1d-an-sang-danh-cho-02-nguoi-241966.html,"750,000","-64%","2,070,000","http://images-hd.vinacdn.com/images/967/967257/500x500/241966-da-lat-saphir-hotel-4-2n1d-an-sang-danh-cho-02-nguoi.jpg","","11.941813832984435","108.43454354841003",
"International Buffet Tối Hải Sản Tại Renaissance Riverside Sài Gòn 5*","International Buffet Tối Hải Sản Tại Nhà Hàng Riverside Café - Khách Sạn Renaissance Riverside Sài Gòn – Cơ Hội Để Bạn Thưởng Thức Bữa Tối Đẳng Cấp 5 Sao. Voucher 1.039.500 VNĐ, Còn 675.000 VNĐ, Giảm 35%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/international-buffet-toi-hai-san-tai-renaissance-riverside-sai-gon-5-218496.html,"675,000","-35%","1,039,500","http://images-hd.vinacdn.com/images/898/897808/500x500/218496-international-buffet-toi-hai-san-tai-renaissance-riverside-sai-gon-5.jpg","8 – 15 Tôn Đức Thắng, Quận 1, Tp HCM","10.7836723","106.70420230000002",
"Vé Xem Kịch Tại Sân Khấu Kịch Nụ Cười Mới","Vé Xem Kịch Tại Sân Khấu Kịch Nụ Cười Mới – Mang Lại Nhiều Tiếng Cười Vui Tươi Sảng Khoái Cho Người Xem Với Nội Dung Hấp Dẫn, Ý Nghĩa. Voucher 120.000 VNĐ, Còn 72.000 VNĐ, Giảm 40%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/dao-tao-giai-tri/ve-xem-kich-tai-san-khau-kich-nu-cuoi-moi-217362.html,"72,000","-40%","120,000","http://images-hd.vinacdn.com/images/913/912829/500x500/217362-ve-xem-kich-tai-san-khau-kich-nu-cuoi-moi.jpg","643 Điện biên phủ P1 Q3","10.7920003","106.69885620000002",
"HOT: Hệ Thống Rainbow Yogurt Toàn Quốc – Không Giới Hạn Voucher/ Hóa Đơn","Ưu Đãi “Cực Sốc” – Áp Dụng Cho Toàn Hệ Thống Rainbow Yogurt – Không Giới Hạn Voucher/ Hóa Đơn. Voucher 45,000 VNĐ, Còn 29,000 VNĐ, Giảm 36%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/cuc-soc-toan-he-thong-rainbow-yogurt-ko-gioi-han-voucher-hoa-don-234923.html,"29,000","-36%","45,000","http://images-hd.vinacdn.com/images/947/946793/500x500/234923-cuc-soc-toan-he-thong-rainbow-yogurt-ko-gioi-han-voucher-hoa-don.jpg","số 310 Trần Hưng Đạo, Quận 1","10.757317","106.68563199999994",
