name,description,link,newprice,discount,oldprice,img,location,lat,long
"Đi Chợ Sành Điệu Với Xe Kéo Cực Kì Tiện Lợi 2 Ngăn- IN.47-004","Xe Kéo Cực Kì Tiện Lợi 2 Ngăn- IN.47-004 – Sản Phẩm Thiết Thực Cho Người Nội Trợ, Giúp Bạn Thoải Mái, Sành Điệu Hơn Khi Đi Chợ. Voucher 350,000 VNĐ, Còn 210,000 VNĐ, Giảm 40%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/gia-dung/di-cho-sanh-dieu-voi-xe-keo-cuc-ki-tien-loi-2-ngan-in.47-004-239054.html,"210,000","-40%","350,000","http://images-hd.vinacdn.com/images/960/960382/500x500/239054-di-cho-sanh-dieu-voi-xe-keo-cuc-ki-tien-loi-2-ngan-in.47-004.jpg","Số 8/26 Nguyễn Đình Khơi, Phường 4, Q.Tân Bình","10.7949724","106.65731490000007",
"Buffet Trưa Hải Sản Tại Oscar Saigon Hotel 4* ","Thỏa Thích Thưởng Thức Tiệc Buffet Trưa Với Nhiều Món Ăn Thơm Ngon, Hấp Dẫn Tại Oscar Saigon Hotel 4*. Voucher 280,000 VNĐ, Còn 219,000 VNĐ, Giảm 22%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/buffet-trua-hai-san-oscar-saigon-hotel-4-243278.html,"219,000","-22%","280,000","http://images-hd.vinacdn.com/images/969/969363/500x500/243278-buffet-trua-hai-san-oscar-saigon-hotel-4.jpg","68A Nguyễn Huệ, Quận 1, tp HCM","10.7722722","106.70487359999993",
"[Phan Thiết] Làng Sen Resort 4* 2N1Đ – Ăn Sáng - Dành Cho 02 Người ","[Phan Thiết] Làng Sen Resort 4* 2N1Đ – Ăn Sáng - Dành Cho 02 Người . Voucher 2,200,000 VNĐ, Còn 999,000 VNĐ, Giảm 55%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/du-lich/phan-thiet-lang-sen-resort-3-2n1d-an-sang-danh-cho-02-nguoi-236085.html,"999,000","-55%","2,200,000","http://images-hd.vinacdn.com/images/957/957429/500x500/236085-phan-thiet-lang-sen-resort-3-2n1d-an-sang-danh-cho-02-nguoi.jpg","","10.953258","108.215616",
"Tour Hà Nội - Bái Đính - Tràng An (KH Hàng Ngày)","Tour Hà Nội - Bái Đính - Tràng An (KH Hàng Ngày). Voucher 750,000 VNĐ, Còn 415,000 VNĐ, Giảm 45%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/du-lich/tour-ha-noi-bai-dinh-trang-an-kh-hang-ngay--113375.html,"415,000","-45%","750,000","http://images-hd.vinacdn.com/images/572/572265/500x500/113375-tour-ha-noi-bai-dinh-trang-an-kh-hang-ngay-.jpg","Văn phòng Hotdeal - Tòa nhà Ausnam, ngõ 109 Trường Chinh, Hà Nội","20.998131","105.83806900000002",
"Ăn Là Ghiền - Thương Hiệu Bánh Xèo Hàng Đầu Sài Gòn","Thưởng Thức Bánh Xèo Củ Sắn Hẹ Tôm Thịt Hương Vị Hấp Dẫn, Mang Phong Cách Nam Bộ Đặc Trưng Tại Nhà Hàng Bánh Xèo Ăn Là Ghiền. Voucher 45,000 VNĐ, Còn 20,000 VNĐ, Giảm 56%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/an-la-ghien-thuong-hieu-banh-xeo-hang-dau-sai-gon-233200.html,"20,000","-56%","45,000","http://images-hd.vinacdn.com/images/940/940371/500x500/233200-an-la-ghien-thuong-hieu-banh-xeo-hang-dau-sai-gon.jpg","74 SƯƠNG NGUYỆT ÁNH, QUẬN 1","10.7707613","106.6879841",
"Buffet Tối Đệ Nhất Trên 60 Món Việt, Á, Âu, Lẩu + Miễn Phí Nước Uống","Tha Hồ Thưởng Thức Và Khám Phá Buffet Tối Trên 60 Món Ăn Việt Nam, Âu, Á Tại Nhà Hàng Buffet Đệ Nhất – KS 4*. Voucher 245,000 VNĐ, Còn 208,000 VNĐ, Giảm 15%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/buffet-toi-de-nhat-tren-60-mon-viet-a-au-mien-phi-nuoc-uong-235422.html,"208,000","-15%","245,000","http://images-hd.vinacdn.com/images/948/947562/500x500/235422-buffet-toi-de-nhat-tren-60-mon-viet-a-au-mien-phi-nuoc-uong.jpg","18  HoàngViệt, P.4, Q. Tân Bình","10.79602","106.65924599999994",
"Buffet Nướng Tại Bàn Với Tôm Càng Xanh Tại Nhà Hàng Thằng Mập","Đến Nhà Hàng Thằng Mập, Thưởng Thức Buffet BBQ Nướng Tại Bàn Với Tôm Càng Xanh Và Hơn 50 Món Ăn Đặc Sắc Khác. Voucher 390,000 VNĐ, Còn 119,000 VNĐ, Giảm 69%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/buffer-bbq-nuong-tai-ban-voi-tom-cang-xanh-va-hon-50-mon-tai-nha-hang-kraut-223226.html,"119,000","-69%","390,000","http://images-hd.vinacdn.com/images/915/914956/500x500/223226-buffer-bbq-nuong-tai-ban-voi-tom-cang-xanh-va-hon-50-mon-tai-nha-hang-kraut.jpg","Nhà hàng Thằng Mập - 62 Bis Huỳnh Thúc Kháng, P. Bến Nghé, Q.1, Tp. Hồ Chí Minh","10.7717968","106.70077979999996",
"Tắm trắng Cao Cấp Nano Collagen Độc Quyền - TMV Charm, Hiệu Quả Ngay Lần Đầu","Trắng Hoàn Hảo Không Sợ Nắng Với Hệ Thống TMV Charm - Tắm Trắng Nano Collagen Độc Quyền Kèm Quà Tặng Đến 5 Triệu. Voucher 2,000,000 VNĐ, Còn 499,000 VNĐ, Giảm 75%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/spa-lam-dep/he-thong-tmv-charm-tam-trang-pha-le-nano-collagen-doc-quyen-kem-qua-tang-den-5-trieu-238624.html,"499,000","-75%","2,000,000","http://images-hd.vinacdn.com/images/959/958782/500x500/238624-he-thong-tmv-charm-tam-trang-pha-le-nano-collagen-doc-quyen-kem-qua-tang-den-5-trieu.jpg","339A Nguyễn Đình Chiểu F.5, Q.3, TP HCM","10.7784551","106.6899588",
"Ăn Thả Ga Set Menu 4 Món Hàn Quốc - Ngon Khó "Cưỡng" ","Trải Nghiệm Ẩm Thực Mang Đậm Phong Cách Hàn Quốc Với 1 Trong 2 Set Ăn Cho 2 Người Tại Nhà Hàng Sườn Nướng Hàn Quốc. Voucher 350,000 VNĐ, Còn 125,000 VNĐ, Giảm 64%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/gia-soc-nhat-nam-so-luong-co-han-suon-nuong-han-quoc-220631.html,"125,000","-64%","350,000","http://images-hd.vinacdn.com/images/908/908237/500x500/220631-gia-soc-nhat-nam-so-luong-co-han-suon-nuong-han-quoc.jpg","4/4 Nguyễn Bỉnh Khiêm, P. Đa Kao, Q.1","10.78894","106.70335799999998",
"Buffet Ăn Vặt 50 Món Bắc – Trung – Nam Tặng Lẩu Nấm Tại Thị Buffet","Tha Hồ Khám Phá Các Món Ăn Đường Phố Đặc Sắc Với Buffet Ăn Vặt Hơn 50 Món Bắc – Trung – Nam Dành Cho 01 Người Tại Thị Buffet. Voucher 89,000 VNĐ, Còn 62,000 VNĐ, Giảm 30%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/buffet-an-vat-50-mon-bac-trung-nam-tai-thi-buffet-233195.html,"62,000","-30%","89,000","http://images-hd.vinacdn.com/images/939/939004/500x500/233195-buffet-an-vat-50-mon-bac-trung-nam-tai-thi-buffet.jpg","13 Hoa Mai, P.2, Quận Phú Nhuận","10.7970017","106.68795879999993",
"Windsor Plaza Hotel 5* - International Buffet Tối Từ Thứ 2 Đến Thứ 6","Đổi Gió Và Thưởng Thức Trên 150 Món Ăn Đặc Sắc Trong Bữa Tiệc Buffet Tối Từ Thứ 2 Đến Thứ 6 Tại Windsor Plaza Hotel 5*. Voucher 645,000 VNĐ, Còn 483,000 VNĐ, Giảm 25%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/windsor-plaza-hotel-5-international-buffet-toi-tu-thu-2-den-thu-6-231727.html,"483,000","-25%","645,000","http://images-hd.vinacdn.com/images/937/937119/500x500/231727-windsor-plaza-hotel-5-international-buffet-toi-tu-thu-2-den-thu-6.jpg","18 An Dương Vương, Q. 5","10.7596869","106.67966360000003",
"Hệ Thống Mr.Potato - Lựa Chọn Thả Ga Với 17 Loại Gia Vị Khoai Tây Thơm, Ngon, Giòn Tan ","Tha Hồ Chọn Khẩu Vị Khoai Yêu Thích Với Sốt Tự Chọn Cùng Các Món Gà Rán, Burger, Salad Và Nước Ngọt, Nước Ép Trái Cây…Độc Đáo, Hấp Dẫn Không Giới Hạn Tại Hệ Thống Mr.Totato. Voucher 39,000 VNĐ, Còn 25,000 VNĐ, Giảm 36%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/tha-ho-chon-khau-vi-hoai-yeu-thich-khong-gioi-han-tai-he-thong-mr.-potato-226752.html,"25,000","-36%","39,000","http://images-hd.vinacdn.com/images/922/922481/500x500/226752-tha-ho-chon-khau-vi-hoai-yeu-thich-khong-gioi-han-tai-he-thong-mr.-potato.jpg","98-O Lê Lai, P. Bến Thành, Q1","10.7699854","106.69336520000002",
"Buffet Tối Hải Sản NH Dìn Ký - Từ Thứ 3 Đến CN","Đổi Vị Cuối Tuần Với Buffet Tối Hải Sản Gồm Hơn 60 Món Ăn Đặc Sắc Tại Nhà Hàng Hải Sản Dìn Ký. Voucher 270.000 VNĐ, Còn 189.000 VNĐ, Giảm 30%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/buffet-toi-hai-san-din-ky-_-thu3-4-5-6-7-cn-235886.html,"189,000","-30%","270,000","http://images-hd.vinacdn.com/images/948/948308/500x500/235886-buffet-toi-hai-san-din-ky-_-thu3-4-5-6-7-cn.jpg","127 Hồng Hà, P.9, Q.Phú Nhuận","10.810386","106.67196899999999",
"Buffet Trưa Hơn 40 Món Tại 4GS Texas Restaurant","Hòa Mình Vào Thế Giới Ẩm Thực Đầy Màu Sắc Với Bữa Tiệc Buffet Trưa Hơn 40 Món Tại 4GS Texas Restaurant. Voucher 155,000 VNĐ, Còn 99,000 VNĐ, Giảm 36%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/buffet-trua-hon-40-mon-tai-4gs-texas-230625.html,"99,000","-36%","155,000","http://images-hd.vinacdn.com/images/932/932367/500x500/230625-buffet-trua-hon-40-mon-tai-4gs-texas.jpg","110 Điện Biên Phủ, phường Đa Kao, quận 1","10.789811","106.696641",
"1 Trong 3 Combo Sushi Cho 1 Người - Giao Hàng Miễn Phí","Thưởng Thức Hương Vị Sushi Hấp Dẫn, Nhỏ Xinh, Đầy Màu Sắc Với 1 Trong 3 Combo Dành Cho 1 Người Tại Shinsen Sushi. Áp Dụng Mua Mang Về, Giao Hàng Tận Nơi. Voucher 55,000 VNĐ, Còn 30,000 VNĐ, Giảm 45%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/01-trong-03-combo-sushi-danh-cho-1-nguoi-tai-shinsen-sushi-233003.html,"30,000","-45%","55,000","http://images-hd.vinacdn.com/images/938/938330/500x500/233003-01-trong-03-combo-sushi-danh-cho-1-nguoi-tai-shinsen-sushi.jpg","159 Cao Thắng, Q.10","10.7734667","106.67814440000006",
"Kem Khói Tuyệt Ngon Tại Kemistry","Thưởng Thức 1 Phần Kem Khói Gồm 2 Viên (Có 40 Mùi Lựa Chọn)  Ngon Mê Ly Tại Kem Khói Kemistry. Voucher 54,000 VNĐ, Còn 27,000 VNĐ, Giảm 50%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/kem-khoi-tuyet-ngon-chao-don-mua-dong-tai-kemistry-221489.html,"27,000","-50%","54,000","http://images-hd.vinacdn.com/images/912/911802/500x500/221489-kem-khoi-tuyet-ngon-chao-don-mua-dong-tai-kemistry.jpg","147 Trần Hưng Đạo, P. Cầu Ông Lãnh, Quận 1, TP. HCM","10.766674","106.69455700000003",
"Buffet Tối Lẩu Nhật Hàn, Hải Sản & Bò Mỹ Nướng - Sukiya Kore Vincom Mega Mall","Thưởng Thức Ẩm Thực Nhật Hàn Với Tiệc Buffet Tối Lẩu Nhật Hàn, Hải Sản & Bò Mỹ Nướng Cao Cấp Sukiya Tại Vincom Mega Mall. Voucher 218,000 VNĐ, Còn 164,000 VNĐ, Giảm 25%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/sukiya-vincom-mega-mall-buffet-toi-lau-nhat-han-hai-san-bo-my-nuong-cao-cap-224702.html,"164,000","-25%","218,000","http://images-hd.vinacdn.com/images/938/937681/500x500/224702-sukiya-vincom-mega-mall-buffet-toi-lau-nhat-han-hai-san-bo-my-nuong-cao-cap.jpg","Lầu 4, Trung Tâm Thương Mại Vincom Mega Mall, 159 Xa lộ Hà Nội, phường Thảo Điền, Q.2","10.80138066599277","106.73290133862304",
"Cafe Lâu Đài Đá Đẹp Nhất Sài Gòn, Set Cafe Hoàng Gia Bỉ Cho 4 Người","Cơ Hội Thưởng Thức Belgium Royal Coffee (Cà Phê Hoàng Gia Bỉ) – 1 Trong 10 Thức Uống Ngon Nhất Thế Giới Dành Cho 2- 4 Người Tại Stone Castle Café. Voucher 199,000 VNĐ, Còn 99,000 VNĐ, Giảm 50%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/thu-mot-lan-lam-vua-voi-belgium-royal-coffee-danh-cho-2-4-nguoi-tai-stone-castle-cafe-219732.html,"99,000","-50%","199,000","http://images-hd.vinacdn.com/images/903/902692/500x500/219732-thu-mot-lan-lam-vua-voi-belgium-royal-coffee-danh-cho-2-4-nguoi-tai-stone-castle-cafe.jpg","110 Tô Hiệu, phường Hiệp Tân, quận Tân Phú","10.768513555379695","106.62709252929153",
"Tham Quan & Chụp Ảnh Tại Bảo Tàng Tranh 3D Artinus Duy  Nhất Tại Việt Nam","Cơ Hội Tham Quan & Chụp Ảnh Tại Bảo Tàng Tranh 3D Artinus – Lần Đầu Tiên Xuất Hiện Và Duy Nhất Tại Việt Nam. Voucher 180,000 VNĐ, Còn 129,000 VNĐ, Giảm 28%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/dao-tao-giai-tri/tranh-3d-237449.html,"129,000","-28%","180,000","http://images-hd.vinacdn.com/images/954/953550/500x500/237449-tranh-3d.jpg","02-04 Đường số 9, khu đô thị mới Him Lam, Phường Tân Hưng,Quận 7","10.742026004579543","106.69455159759218",
"Kimchi Kimchi – Món Hàn Ngon, Mới Lạ Và Đã Cơn Thèm ","Thưởng Thức Món Hàn Ngon Đúng Điệu Trong Không Gian Sang Trọng, Ấm Cúng Tại Nhà Hàng Kimchi Kimchi. Voucher 230.000 VNĐ, Còn 155.000 VNĐ, Giảm 33%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/kimchi-kimchi-mon-han-ngon-moi-la-va-da-con-them-186538.html,"155,000","-33%","230,000","http://images-hd.vinacdn.com/images/812/811844/500x500/186538-kimchi-kimchi-mon-han-ngon-moi-la-va-da-con-them.jpg","112 Đinh Tiên Hoàng, P.Đa Kao, Q.1","10.7896589","106.69825319999995",
"Set 5 Món Hàn Quốc Giá Sốc Cho 2 Người - Mogu Mogu BBQ","Thưởng Thức 01 Trong 05 Set Ăn Hàn Quốc Hấp Dẫn Cho 02 Người Tại Mogu Mogu BBQ. Voucher 349,000 VNĐ, Còn 139,000 VNĐ, Giảm 60%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/set-menu-04-mon-han-quoc-hap-dan-cho-02-nguoi-free-trang-mieng-tra-khan-lanh-mogu-mogu-bbq-226772.html,"139,000","-60%","349,000","http://images-hd.vinacdn.com/images/925/924611/500x500/226772-set-menu-04-mon-han-quoc-hap-dan-cho-02-nguoi-free-trang-mieng-tra-khan-lanh-mogu-mogu-bbq.jpg","280 Nguyễn Đình Chiểu, P6, Q3","10.7758","106.68727999999999",
"Set 12 Su Kem Singapore – Giao Hàng Miễn Phí","Thưởng Thức Lớp Vỏ Mềm Mại, Nhân Kem Ngọt Ngào, Tươi Mát Của Món Bánh Su Kem Đặc Sắc, Tại Cửa Hàng Bánh Su Kem Singapore. Voucher 100,000 VNĐ, Còn 59,000 VNĐ, Giảm 41%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/set-12-banh-su-tai-banh-su-kem-singapore-giao-hang-mien-phi-236170.html,"59,000","-41%","100,000","http://images-hd.vinacdn.com/images/952/952144/500x500/236170-set-12-banh-su-tai-banh-su-kem-singapore-giao-hang-mien-phi.jpg","187 Xô Viết Nghệ Tĩnh, P.17, Bình Thạnh","10.79934","106.71095300000002",
"Buffet Trưa/ Tối 100 Món Nướng, Lẩu, Sashimi, Sushi Tại Sushi Dining AOI","Thay Đổi Khẩu Vị Với Bữa Tiệc Buffet Trưa/ Tối Hoành Tráng Gồm 100 Món Nướng, Lẩu, Sashimi, Sushi Nhật Bản Tại Sushi Dining AOI. Voucher 500,000 VNĐ, Còn 299,000 VNĐ, Giảm 40%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/buffet-trua-toi-100-mon-nuong-lau-sashimi-sushi-tai-sushi-dining-aoi-232580.html,"299,000","-40%","500,000","http://images-hd.vinacdn.com/images/935/935294/500x500/232580-buffet-trua-toi-100-mon-nuong-lau-sashimi-sushi-tai-sushi-dining-aoi.jpg","53 - 55 Bà Huyện Thanh Quan, Phường 6, Quận 3","10.7763296","106.68858790000002",
"Trọn Gói Điều Trị Mụn, Thâm & Sáng Da Công Nghệ Cao, Đi Serum - Miễn Tip Tại Cà Chua Trắng Clinic","Da Đẹp Rạng Ngời, Không Tỳ Vết Với Gói Điều Trị Mụn, Trị Thâm + Sáng Da Bằng Công Nghệ Cao + Đi Meso Serum Tại Phòng Chăm Sóc Da Cà Chua Trắng. Voucher 1,200,000 VNĐ, Còn 99,000 VNĐ, Giảm 92%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/spa-lam-dep/dieu-tri-da-mun-tham-cao-cap-cong-nghe-sang-da-di-meso-serum-221306.html,"99,000","-92%","1,200,000","http://images-hd.vinacdn.com/images/910/909600/500x500/221306-dieu-tri-da-mun-tham-cao-cap-cong-nghe-sang-da-di-meso-serum.jpg","Số 27 Trần Thiện Chánh, P. 12, Q. 10,","10.7711641","106.67087879999997",
"Hệ Thống Siêu Thị Tóc Huy Nguyễn - Trọn Gói Uốn Duỗi Nhuộm + 03 Quà Tặng ","Làm Điệu Cho Mái Tóc Với Ưu Đãi “Mua 1 Được 4” Tại Hệ Thống Siêu Thị Tóc Huy Nguyễn, Bao Gồm: Uốn/Duỗi/Nhuộm + Cắt + Gội + Sấy – Cùng Nhiều Tặng Kèm Hấp Dẫn. Voucher 750,000 VNĐ, Còn 70,000 VNĐ, Giảm 91%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/spa-lam-dep/he-thong-sieu-thi-toc-huy-nguyen-tron-goi-uon-duoi-nhuom-03-qua-tang-222771.html,"70,000","-91%","750,000","http://images-hd.vinacdn.com/images/916/916210/500x500/222771-he-thong-sieu-thi-toc-huy-nguyen-tron-goi-uon-duoi-nhuom-03-qua-tang.jpg","Chi nhánh 1: Số 703 Xô Viết Nghệ Tĩnh, F. 26, Q. Bình Thạnh","10.8124618","106.71541930000001",
